id:ID,:LABEL,preflabel,synonyms:IGNORE,description
MP:0004950,DISO,abnormal brain vasculature morphology,NA,None
AQTLTrait:1302,GENO,Milk myristoleic acid percentage,NA,None
GO:0060271PHENOTYPE,PHYS,cilium morphogenesis phenotype,NA,None
NCBIGene:100015225,GENE,AMFR,NA,None
HP:0004315,DISO,IgG deficiency,NA,None
FBcv:0000433,DISO,cytokinesis defective,NA,None
MP:0001622,DISO,abnormal vasculogenesis,NA,None
NCBIGene:824469,GENE,SRPK4,NA,None
MP:0001454,DISO,abnormal cued conditioning behavior,NA,None
FBbt:00004894PHENOTYPE,DISO,egg chamber phenotype,NA,None
NCBIGene:460233,GENE,NGLY1,NA,None
MP:0004762,DISO,increased anti-double stranded DNA antibody level,NA,None
NCBIGene:463708,GENE,CCDC136,NA,None
FBbt:00001919PHENOTYPE,DISO,Drosophila embryonic/larval central nervous system phenotype,NA,None
AQTLTrait:1090,GENO,Longissimus muscle area,NA,None
NCBIGene:100062977,GENE,FAF1,NA,None
MP:0011101,DISO,"prenatal lethality, incomplete penetrance",NA,None
HP:0100891,DISO,Bifid xiphoid process,NA,None
FBbt:00003623PHENOTYPE,DISO,adult central nervous system phenotype,NA,None
NCBIGene:374076,GENE,SIAH1,NA,None
MP:0001722,DISO,pale yolk sac,NA,None
Xenbase:XB-GENE-482228,GENE,jun,NA,None
FBbt:00004306PHENOTYPE,DISO,dorsocentral bristle phenotype,NA,None
NCBIGene:451463,GENE,CREBZF,NA,None
FBbt:00005169PHENOTYPE,DISO,Drosophila trichogen cell phenotype,NA,None
MP:0001723,DISO,disorganized yolk sac vascular plexus,NA,None
HP:0030760,DISO,Renal fibrosis,NA,None
GO:0030857PHENOTYPE,PHYS,negative regulation of epithelial cell differentiation phenotype,NA,None
NCBIGene:816286,GENE,BZIP27,NA,None
GO:0048873PHENOTYPE,PHYS,homeostasis of number of cells within a tissue phenotype,NA,None
HP:0010976,DISO,B lymphocytopenia,NA,None
FBbt:00002909PHENOTYPE,DISO,abdominal 5 ventral monoscolopidial chordotonal organ vch1 phenotype,NA,None
FBbt:00004935PHENOTYPE,DISO,Drosophila spermatogonium phenotype,NA,None
WBPhenotype:0000196,DISO,distal tip cell morphology variant,NA,None
Xenbase:XB-GENE-481401,GENE,aqp2,NA,None
GO:0022857,PHYS,transmembrane transporter activity,NA,None
NCBIGene:746891,GENE,GATAD1,NA,None
WBPhenotype:0001980,DISO,germ cell compartment expansion variant,NA,None
MP:0011110,DISO,"preweaning lethality, incomplete penetrance",NA,None
WBPhenotype:0000039,DISO,life span variant,NA,None
NCBIGene:100057130,GENE,KIAA1958,NA,None
WBPhenotype:0001889,DISO,body wall muscle sarcomere morphology variant,NA,None
WBPhenotype:0000241,DISO,accumulated cell corpses,NA,None
FBbt:00005805PHENOTYPE,DISO,Drosophila Bolwig organ phenotype,NA,None
MP:0005382,DISO,craniofacial phenotype,NA,None
NCBIGene:100029189,GENE,TRAFD1,NA,None
NCBIGene:824862,GENE,SIP2;1,NA,None
NCBIGene:397027,GENE,CAPN1,NA,None
GO:0005776PHENOTYPE,PHYS,autophagosome phenotype,NA,None
GO:0002009PHENOTYPE,PHYS,morphogenesis of an epithelium phenotype,NA,None
NCBIGene:461542,GENE,FBXW7,NA,None
NCBIGene:830296,GENE,ACA3,NA,None
WBPhenotype:0001355,DISO,gonad morphology variant,NA,None
FBcv:0002015,DISO,partially lethal,NA,None
MP:0004189,DISO,abnormal alveolar process morphology,NA,None
MP:0003996,DISO,clonic seizures,NA,None
MP:0008803,DISO,abnormal placental labyrinth vasculature morphology,NA,None
MP:0003076,DISO,increased susceptibility to ischemic brain injury,NA,None
ZFIN:ZDB-GENE-100922-169,GENE,si:zfos-1425h8.1,NA,None
FBbt:00000325PHENOTYPE,DISO,embryonic/larval ganglionic branch phenotype,NA,None
FBcv:0000385,DISO,short lived,NA,None
Xenbase:XB-GENE-958272,GENE,trafd1,NA,None
GO:0043679,PHYS,axon terminus,NA,None
GO:0007519PHENOTYPE,PHYS,skeletal muscle tissue development phenotype,NA,None
NCBIGene:106992282,GENE,RPS27A,NA,None
MP:0012142,DISO,absent amniotic cavity,NA,None
FBbt:00003023PHENOTYPE,DISO,Drosophila adult abdomen phenotype,NA,None
MP:0003441,DISO,increased glycerol level,NA,None
MP:0005551,DISO,abnormal eye electrophysiology,NA,None
GO:0043066,PHYS,negative regulation of apoptotic process,NA,None
Xenbase:XB-GENE-487098,GENE,gsk3b,NA,None
GO:0051592,PHYS,response to calcium ion,NA,None
WBPhenotype:0001361,DISO,chromosome condensation variant,NA,None
UBERON:0001235,ANAT,adrenal cortex,NA,None
NCBIGene:703773,GENE,AQP4,NA,None
MP:0010760,DISO,abnormal macrophage chemotaxis,NA,None
FBbt:00004559PHENOTYPE,DISO,dorsal prothorax phenotype,NA,None
HP:0011473,DISO,Villous atrophy,NA,None
NCBIGene:100146516,GENE,UBXN2B,NA,None
FBbt:00001103PHENOTYPE,DISO,Drosophila longitudinal connective phenotype,NA,None
NCBIGene:100147615,GENE,MAFG,NA,None
GO:0071241,PHYS,cellular response to inorganic substance,NA,None
NCBIGene:504255,GENE,RGS17,NA,None
HP:0004378,DISO,Abnormality of the anus,NA,None
ZP:0004002,DISO,abnormal(ly) apoptotic diencephalon,NA,None
GO:0019904,PHYS,protein domain specific binding,NA,None
FBbt:00000690PHENOTYPE,DISO,Drosophila abdominal 2 ventral acute muscle 2 phenotype,NA,None
GO:0046875,PHYS,ephrin receptor binding,NA,None
FBbt:00004400PHENOTYPE,DISO,mesothoracic tarsal bristle longitudinal row 4 phenotype,NA,None
NCBIGene:100126278,GENE,AQP5,NA,None
NCBIGene:420987,GENE,EXOC3,NA,None
MP:0001473,DISO,reduced long term potentiation,NA,None
DOID:8850,DISO,salivary gland cancer,NA,None
MP:0008535,DISO,enlarged lateral ventricles,NA,None
FBbt:00003369PHENOTYPE,DISO,Drosophila lateral oblique dorsal muscle phenotype,NA,None
NCBIGene:717500,GENE,GNS,NA,None
MGI:5797368,GENE,Aqp1<tm1b(EUCOMM)Wtsi>/Aqp1<tm1b(EUCOMM)Wtsi> [C57BL/6N-Aqp1<tm1b(EUCOMM)Wtsi>/H],NA,None
MP:0011427,DISO,mesangial cell hyperplasia,NA,None
NCBIGene:100080584,GENE,BTRC,NA,None
FBbt:00000820PHENOTYPE,DISO,Drosophila abdominal 5 dorsal acute muscle 1 phenotype,NA,None
NCBIGene:100029783,GENE,CCDC57,NA,None
MP:0002216,DISO,abnormal seminiferous tubule morphology,NA,None
AQTLTrait:1098,GENO,Udder depth,NA,None
NCBIGene:100060874,GENE,CRTAC1,NA,None
FBcv:0000451,DISO,wound healing defective,NA,None
:.well-known/genid/mgiseqaltkey612735,GENO,tm1a(EUCOMM)Wtsi,NA,None
NCBIGene:419074,GENE,LOC419074,NA,None
NCBIGene:701874,GENE,CCDC136,NA,None
NCBIGene:100010467,GENE,ACP5,NA,None
NCBIGene:100516343,GENE,NFE2L2,NA,None
NCBIGene:100015491,GENE,TRAF1,NA,None
HP:0000096,DISO,Glomerulosclerosis,NA,None
NCBIGene:100057280,GENE,ENGASE,NA,None
GO:0034644,PHYS,cellular response to UV,NA,None
GO:0006884,PHYS,cell volume homeostasis,NA,None
MP:0003628,DISO,abnormal leukocyte adhesion,NA,None
MP:0001392,DISO,abnormal locomotor behavior,NA,None
GO:0031965,PHYS,nuclear membrane,NA,None
FBbt:00005124PHENOTYPE,DISO,Drosophila sensory neuron phenotype,NA,None
MP:0013292,DISO,embryonic lethality prior to organogenesis,NA,None
FBbt:00004772PHENOTYPE,DISO,Drosophila submarginal cell phenotype,NA,None
HP:0001274,DISO,Agenesis of corpus callosum,NA,None
MP:0002691,DISO,small stomach,NA,None
NCBIGene:454454,GENE,PLD2,NA,None
MP:0013430,DISO,"increased memory CD4-positive, CD25-positive, alpha-beta regulatory T cell number",NA,None
GO:0042552PHENOTYPE,PHYS,myelination phenotype,NA,None
MP:0010935,DISO,increased airway resistance,NA,None
Xenbase:XB-GENE-921957,GENE,lingo1,NA,None
MONARCH:bda1cde5e50b41cb,GENO,Aqp1<tm1b(EUCOMM)Wtsi>/Aqp1<tm1b(EUCOMM)Wtsi> [C57BL/6NTac-MRC Harwell-H-AQP1-C01-TM1B] (male),NA,None
NCBIGene:100011635,GENE,BRD9,NA,None
MP:0005605,DISO,increased bone mass,NA,None
FBbt:00004828PHENOTYPE,DISO,male genitalia phenotype,NA,None
NCBIGene:703803,GENE,DERL1,NA,None
NCBIGene:746761,GENE,GK5,NA,None
NCBIGene:100059567,GENE,PHF12,NA,None
NCBIGene:100612433,GENE,BTBD8,NA,None
MP:0003932,DISO,abnormal molar crown morphology,NA,None
NCBIGene:707486,GENE,CRTAC1,NA,None
FBbt:00004762PHENOTYPE,DISO,wing vein L4 phenotype,NA,None
MP:0003961,DISO,decreased lean body mass,NA,None
GO:0051318PHENOTYPE,PHYS,G1 phase phenotype,NA,None
Xenbase:XB-GENE-957785,GENE,keap1,NA,None
ZFIN:ZDB-GENE-090814-1,GENE,tcf4,NA,None
HP:0002180,DISO,Neurodegeneration,NA,None
MP:0010653,DISO,abnormal Wallerian degeneration,NA,None
MP:0004921,DISO,decreased placenta weight,NA,None
NCBIGene:538594,GENE,CREBZF,NA,None
FBbt:00002628PHENOTYPE,DISO,Drosophila embryonic/larval stomatogastric nervous system phenotype,NA,None
MP:0010903,DISO,abnormal pulmonary alveolus wall morphology,NA,None
FBbt:00000155PHENOTYPE,DISO,Drosophila embryonic head phenotype,NA,None
NCBIGene:100050471,GENE,RGS20,NA,None
FBcv:0000376,DISO,male fertile,NA,None
Xenbase:XB-GENE-943926,GENE,nfe2l2,NA,None
FBbt:00005113PHENOTYPE,DISO,Drosophila neurite phenotype,NA,None
WBPhenotype:0000088,DISO,body muscle displaced,NA,None
WBPhenotype:0000869,DISO,mitochondria morphology variant muscle,NA,None
HP:0003758,DISO,Reduced subcutaneous adipose tissue,NA,None
ZP:0000360,DISO,abnormal(ly) linear heart,NA,None
NCBIGene:695814,GENE,TCF4,NA,None
GO:0043005,PHYS,neuron projection,NA,None
ZP:0000038,DISO,abnormal(ly) edematous pericardium,NA,None
NCBIGene:100012447,GENE,GSK3B,NA,None
MGI:4441703,GENE,Aqp1<tm1a(EUCOMM)Wtsi>,NA,None
NCBIGene:738370,GENE,LOC738370,NA,None
GO:0030157,PHYS,pancreatic juice secretion,NA,None
GO:0030324PHENOTYPE,PHYS,lung development phenotype,NA,None
MP:0002378,DISO,abnormal gut-associated lymphoid tissue morphology,NA,None
ZP:0000355,DISO,abnormal(ly) quality eye,NA,None
FBbt:00003679PHENOTYPE,DISO,Drosophila fan-shaped body phenotype,NA,None
AQTLTrait:1034,GENO,Milk fat percentage (daughter deviation),NA,None
GO:0045494PHENOTYPE,PHYS,photoreceptor cell maintenance phenotype,NA,None
HP:0001644,DISO,Dilated cardiomyopathy,NA,None
FBbt:00000111PHENOTYPE,DISO,ectoderm phenotype,NA,None
FBbt:00004315PHENOTYPE,DISO,sternopleural bristle phenotype,NA,None
NCBIGene:824138,GENE,bZIP5,NA,None
UBERON:0002372,ANAT,tonsil,NA,None
MP:0001787,DISO,pericardial edema,NA,None
HP:0002797,DISO,Osteolysis,NA,None
NCBIGene:694328,GENE,CSRNP1,NA,None
NCBIGene:616821,GENE,MID2,NA,None
FBcv:0000431,DISO,meiotic cell cycle defective,NA,None
NCBIGene:711983,GENE,B4GALT4,NA,None
NCBIGene:535222,GENE,EFEMP2,NA,None
FBbt:00000780PHENOTYPE,DISO,Drosophila abdominal 4 ventral acute muscle 2 phenotype,NA,None
HP:0002097,DISO,Emphysema,NA,None
MP:0004953,DISO,decreased spleen weight,NA,None
NCBIGene:420384,GENE,AQP1,NA,None
NCBIGene:51172,GENE,NAGPA,NA,None
MP:0011967,DISO,increased or absent threshold for auditory brainstem response,NA,None
GO:0030184,PHYS,nitric oxide transmembrane transporter activity,NA,None
ZP:0003362,DISO,abnormal(ly) vacuolated notochord cell,NA,None
MP:0003755,DISO,abnormal palate morphology,NA,None
NCBIGene:705455,GENE,KLHL6,NA,None
FBbt:00001104PHENOTYPE,DISO,ventral nerve cord commissure phenotype,NA,None
FBcv:0000440,DISO,chemical sensitive,NA,None
UBERON:0000002,ANAT,uterine cervix,NA,None
HP:0002617,DISO,Dilatation,NA,None
Xenbase:XB-GENE-5926433,GENE,c8orf33,NA,None
NCBIGene:100026605,GENE,NFE2L2,NA,None
MP:0009640,DISO,abnormal renal tubule epithelium morphology,NA,None
ZP:0002189,DISO,abnormal(ly) decreased length facial nerve motor nucleus axon,NA,None
WBPhenotype:0000188,DISO,gonad arm morphology variant,NA,None
FBcv:0000364,DISO,sterile,NA,None
FBbt:00001137PHENOTYPE,DISO,Drosophila sensory mother cell phenotype,NA,None
WBPhenotype:0001951,DISO,pachytene region organization variant,NA,None
FBbt:00004910PHENOTYPE,DISO,interfollicle cell phenotype,NA,None
FBbt:00004942PHENOTYPE,DISO,Drosophila spermatid phenotype,NA,None
ZP:0003358,DISO,abnormal(ly) circular notochord vacuole,NA,None
MMRRC:041819,GENO,C57BL/6J-MtgxR4608Btlr,NA,None
GO:0006182,PHYS,cGMP biosynthetic process,NA,None
GO:0001892PHENOTYPE,PHYS,embryonic placenta development phenotype,NA,None
ZP:0001441,DISO,abnormal(ly) morphology retinal pigmented epithelium,NA,None
MP:0020080,DISO,increased bone mineralization,NA,None
Xenbase:XB-GENE-941300,GENE,gucd1,NA,None
HP:0000099,DISO,Glomerulonephritis,NA,None
MP:0009888,DISO,palatal shelves fail to meet at midline,NA,None
HP:0001679,DISO,Abnormal aortic morphology,NA,None
GO:0030425,PHYS,dendrite,NA,None
Xenbase:XB-GENE-923086,GENE,amfr,NA,None
ZP:0001622,DISO,abnormal(ly) present in fewer numbers in organism posterior lateral line neuromast neuromast hair cell,NA,None
OMIM:263200,DISO,Polycystic Kidney Disease 4 With or Without Hepatic Disease,NA,None
MP:0000961,DISO,abnormal dorsal root ganglion morphology,NA,None
MP:0011080,DISO,increased macrophage apoptosis,NA,None
HP:0002092,DISO,Pulmonary arterial hypertension,NA,None
MP:0006382,DISO,abnormal lung epithelium morphology,NA,None
NCBIGene:100031429,GENE,TMEM25,NA,None
ZP:0004922,DISO,abnormal(ly) malformed neurohypophysis vasculature,NA,None
GO:0030017PHENOTYPE,PHYS,sarcomere phenotype,NA,None
UBERON:0002478,ANAT,orbitosphenoid,NA,None
NCBIGene:817863,GENE,AT2G33010,NA,None
FBbt:00001810PHENOTYPE,DISO,posterior dorsal histoblast nest abdominal 1 phenotype,NA,None
ZP:0001272,DISO,abnormal(ly) quality retinal photoreceptor layer,NA,None
:.well-known/genid/person-3200-1,GENO,affected male proband with Congenital disorder of deglycosylation,NA,None
:.well-known/genid/person-3259-1,GENO,affected male proband with Congenital disorder of deglycosylation,NA,None
NCBIGene:815208,GENE,AT2G06500,NA,None
MP:0004989,DISO,decreased osteoblast cell number,NA,None
NCBIGene:100076818,GENE,FBXW11,NA,None
UBERON:0006862,ANAT,diaphysis of femur,NA,None
FBcv:0000418,DISO,flightless,NA,None
FBbt:00000890PHENOTYPE,DISO,Drosophila abdominal 6 lateral longitudinal muscle 1 phenotype,NA,None
MP:0004796,DISO,increased anti-histone antibody level,NA,None
:.well-known/genid/seqaltMGI5692545,GENO,tm1b(EUCOMM)Wtsi,NA,None
NCBIGene:832347,GENE,AT5G22840,NA,None
MP:0002972,DISO,abnormal cardiac muscle contractility,NA,None
MP:0013675,DISO,decreased Ly6C-positive mature NK cell number,NA,None
FBbt:00005201PHENOTYPE,DISO,denticle belt phenotype,NA,None
FBbt:00001849PHENOTYPE,DISO,hypostomal sclerite phenotype,NA,None
MP:0011086,DISO,"postnatal lethality, incomplete penetrance",NA,None
FBbt:00001724PHENOTYPE,DISO,prothoracic gland phenotype,NA,None
NCBIGene:100608173,GENE,B4GALT4,NA,None
NCBIGene:100523387,GENE,WDFY3,NA,None
NCBIGene:7922539,GENE,AT3G30235,NA,None
MP:0000852,DISO,small cerebellum,NA,None
NCBIGene:100608988,GENE,GK2,NA,None
WBPhenotype:0001646,DISO,no pharynx,NA,None
NCBIGene:100526031,GENE,EFEMP2,NA,None
NCBIGene:839399,GENE,AT1G04850,NA,None
GO:0033925,PHYS,mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity,NA,None
WBPhenotype:0000025,DISO,blistered,NA,None
NCBIGene:100018668,GENE,PUS7,NA,None
NCBIGene:100152701,GENE,MDFI,NA,None
FBbt:00000185PHENOTYPE,DISO,Drosophila embryonic/larval tracheal system phenotype,NA,None
MP:0000854,DISO,abnormal cerebellum development,NA,None
MP:0008250,DISO,abnormal myeloid leukocyte morphology,NA,None
NCBIGene:100337681,GENE,ELAVL1,NA,None
HP:0002150,DISO,Hypercalciuria,NA,None
MP:0002275,DISO,abnormal type II pneumocyte morphology,NA,None
WBPhenotype:0000704,DISO,excretory canal morphology variant,NA,None
NCBIGene:100012616,GENE,USP15,NA,None
HP:0002904,DISO,Hyperbilirubinemia,NA,None
GO:0021587PHENOTYPE,PHYS,cerebellum morphogenesis phenotype,NA,None
WBPhenotype:0000777,DISO,polar body extrusion defective early emb,NA,None
GO:0007049PHENOTYPE,PHYS,cell cycle phenotype,NA,None
MP:0008254,DISO,increased megakaryocyte cell number,NA,None
ClinVarVariant:388895,VARI,NM_018297.3(NGLY1):c.131+11A>G,NA,None
HP:0000778,DISO,Hypoplasia of the thymus,NA,None
MP:0005598,DISO,decreased ventricle muscle contractility,NA,None
GO:0033363,PHYS,secretory granule organization,NA,None
:.well-known/genid/MGI5692545GENO0000137,GENO,Aqp1<tm1b(EUCOMM)Wtsi>/<?>,NA,None
FBbt:00004310PHENOTYPE,DISO,anterior postalar bristle phenotype,NA,None
MP:0011106,DISO,"embryonic lethality between implantation and somite formation, incomplete penetrance",NA,None
UBERON:0007106,ANAT,chorionic villus,NA,None
MP:0000133,DISO,abnormal long bone metaphysis morphology,NA,None
MP:0013600,DISO,testis degeneration,NA,None
MP:0008453,DISO,decreased retinal rod cell number,NA,None
HP:0000706,DISO,Unerupted tooth,NA,None
MP:0001214,DISO,skin hyperplasia,NA,None
NCBIGene:507809,GENE,RUSC2,NA,None
HP:0003228,DISO,Hypernatremia,NA,None
MP:0009642,DISO,abnormal blood homeostasis,NA,None
FBbt:00000092PHENOTYPE,DISO,Drosophila pole cell phenotype,NA,None
ZP:0000160,DISO,abnormal(ly) dorsalized whole organism,NA,None
NCBIGene:103282704,GENE,LOC103282704,NA,None
ZP:0000475,DISO,abnormal(ly) disrupted neural crest cell migration,NA,None
GO:0060026PHENOTYPE,PHYS,convergent extension phenotype,NA,None
HP:0003110,DISO,Abnormality of urine homeostasis,NA,None
MP:0008596,DISO,increased circulating interleukin-6 level,NA,None
NCBIGene:100053851,GENE,AQP3,NA,None
NCBIGene:431657,GENE,RUSC2,NA,None
NCBIGene:540530,GENE,FSD2,NA,None
NCBIGene:693575,GENE,FSD2,NA,None
AQTLTrait:1067,GENO,Length of productive life,NA,None
FBbt:00007039PHENOTYPE,DISO,intestinal stem cell phenotype,NA,None
ZP:0004361,DISO,abnormal(ly) decreased amount Kupffer's vesicle cilium,NA,None
ZP:0000126,DISO,abnormal(ly) malformed Meckel's cartilage,NA,None
HP:0000833,DISO,Glucose intolerance,NA,None
NCBIGene:816020,GENE,ARFB1A,NA,None
NCBIGene:707606,GENE,NFE2L2,NA,None
GO:0030426PHENOTYPE,PHYS,growth cone phenotype,NA,None
NCBIGene:57151,GENE,LYZL6,NA,None
GO:0001205,PHYS,"transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding",NA,None
MP:0004948,DISO,abnormal neuronal precursor proliferation,NA,None
MP:0008706,DISO,decreased interleukin-6 secretion,NA,None
MP:0005391,DISO,vision/eye phenotype,NA,None
NCBIGene:100557389,GENE,maff,NA,None
MP:0004952,DISO,increased spleen weight,NA,None
FBbt:00007326PHENOTYPE,DISO,intersegmental nerve branch ISNb of A1-7 phenotype,NA,None
HP:0001981,DISO,Schistocytosis,NA,None
Xenbase:XB-GENE-959045,GENE,creb3,NA,None
NCBIGene:106997467,GENE,AQP1,NA,None
MP:0002116,DISO,abnormal craniofacial bone morphology,NA,None
GO:0010634,PHYS,positive regulation of epithelial cell migration,NA,None
ZP:0002191,DISO,abnormal(ly) decreased length trigeminal motor nucleus axon,NA,None
MP:0001407,DISO,short stride length,NA,None
FBcv:0000367,DISO,female semi-sterile,NA,None
FBbt:00001920PHENOTYPE,DISO,embryonic/larval brain phenotype,NA,None
HP:0002808,DISO,Kyphosis,NA,None
ZP:0000638,DISO,abnormal(ly) curved ventral post-vent region,NA,None
FBbt:00007275PHENOTYPE,DISO,Drosophila class IV dendritic arborizing neuron phenotype,NA,None
Coriell:GM25343,GENO,NIGMS-GM25343,NA,None
MP:0010412,DISO,atrioventricular septal defect,NA,None
ZP:0001211,DISO,abnormal(ly) uninflated swim bladder,NA,None
FBbt:00004984PHENOTYPE,DISO,Drosophila embryonic/first instar larval cuticle phenotype,NA,None
UBERON:0002358,ANAT,peritoneum,NA,None
NCBIGene:100847654,GENE,ENGASE,NA,None
FBcv:0000359,DISO,decreased cell number,NA,None
MP:0002533,DISO,abnormal type III hypersensitivity reaction,NA,None
FBbt:00000179PHENOTYPE,DISO,embryonic abdominal segment 7 phenotype,NA,None
WBPhenotype:0001577,DISO,mitochondria alignment variant,NA,None
KEGG-path:maphsa04976,PHYS,Bile secretion,NA,None
NCBIGene:465801,GENE,MID2,NA,None
GO:0050688PHENOTYPE,PHYS,regulation of defense response to virus phenotype,NA,None
MP:0011400,DISO,"lethality, complete penetrance",NA,None
MP:0001828,DISO,abnormal T cell activation,NA,None
NCBIGene:100060819,GENE,ELAVL1,NA,None
MP:0006254,DISO,thin cerebral cortex,NA,None
MP:0010872,DISO,increased trabecular bone mass,NA,None
FBbt:00005209PHENOTYPE,DISO,Drosophila multidendritic neuron phenotype,NA,None
HP:0030685,DISO,Decreased adiponectin level,NA,None
MP:0002703,DISO,abnormal renal tubule morphology,NA,None
FBbt:00004929PHENOTYPE,DISO,Drosophila male germline stem cell phenotype,NA,None
NCBIGene:721465,GENE,SHPK,NA,None
HP:0000204,DISO,Cleft upper lip,NA,None
NCBIGene:451588,GENE,TMEM25,NA,None
FBcv:0000428,DISO,cell size defective,NA,None
NCBIGene:100028099,GENE,CA9,NA,None
GO:0033326,PHYS,cerebrospinal fluid secretion,NA,None
MP:0003222,DISO,increased cardiomyocyte apoptosis,NA,None
MP:0000350,DISO,abnormal cell proliferation,NA,None
NCBIGene:451335,GENE,EFEMP2,NA,None
MP:0010900,DISO,abnormal pulmonary interalveolar septum morphology,NA,None
HP:0003323,DISO,Progressive muscle weakness,NA,None
ZP:0000087,DISO,abnormal(ly) decreased amount anterior lateral line neuromast,NA,None
UBERON:0004811,ANAT,endometrium epithelium,NA,None
MGI:3613472,GENE,Aqp1<tm1Ask>/Aqp1<tm1Ask>; Aqp8<tm1Ask>/Aqp8<tm1Ask> [involves: 129/Sv * C57BL/6 * CD-1],NA,None
GO:0051216PHENOTYPE,PHYS,cartilage development phenotype,NA,None
NCBIGene:100562530,GENE,ikzf2,NA,None
WBPhenotype:0000698,DISO,vulvaless,NA,None
MP:0008438,DISO,abnormal cutaneous collagen fibril morphology,NA,None
MP:0001302,DISO,eyelids open at birth,NA,None
MP:0005070,DISO,impaired natural killer cell mediated cytotoxicity,NA,None
FBbt:00004905PHENOTYPE,DISO,Drosophila border follicle cell phenotype,NA,None
MP:0006423,DISO,dilated rete testis,NA,None
ZP:0003364,DISO,abnormal(ly) disorganized retinal pigmented epithelium,NA,None
MP:0005635,DISO,decreased circulating bilirubin level,NA,None
MP:0000157,DISO,abnormal sternum morphology,NA,None
WBPhenotype:0000729,DISO,cell death variant,NA,None
WBPhenotype:0001143,DISO,multiple nuclei early emb,NA,None
MP:0000259,DISO,abnormal vascular development,NA,None
MP:0000490,DISO,abnormal crypts of Lieberkuhn morphology,NA,None
GO:0043009PHENOTYPE,PHYS,chordate embryonic development phenotype,NA,None
ZP:0003366,DISO,abnormal(ly) absent somite caveola,NA,None
OMIM:107776.0001,DISO,"AQP1, ALA45VAL",NA,None
GO:0048546PHENOTYPE,PHYS,digestive tract morphogenesis phenotype,NA,None
MP:0001131,DISO,abnormal ovarian follicle morphology,NA,None
MP:0010868,DISO,increased bone trabecula number,NA,None
NCBIGene:100563195,GENE,rps27a,NA,None
NCBIGene:280728,GENE,AVP,NA,None
AQTLTrait:1291,GENO,Fertilization rate,NA,None
GO:0071474,PHYS,cellular hyperosmotic response,NA,None
FBcv:0000394,DISO,circadian rhythm defective,NA,None
MP:0012728,DISO,abnormal somite border morphology,NA,None
FBbt:00001778PHENOTYPE,DISO,Drosophila wing disc phenotype,NA,None
FBcv:0000391,DISO,bang sensitive,NA,None
NCBIGene:423854,GENE,BTRC,NA,None
HP:0001320,DISO,Cerebellar vermis hypoplasia,NA,None
MP:0002941,DISO,increased circulating alanine transaminase level,NA,None
UBERON:0004134,ANAT,proximal tubule,NA,None
WBPhenotype:0000057,DISO,early larval lethal,NA,None
FBbt:00004219PHENOTYPE,DISO,Drosophila photoreceptor cell R4 phenotype,NA,None
NCBIGene:100561144,GENE,phf12,NA,None
MP:0005379,DISO,endocrine/exocrine gland phenotype,NA,None
MP:0006257,DISO,abnormal fungiform papillae morphology,NA,None
WBPhenotype:0001979,DISO,gonad vesiculated,NA,None
FBbt:00006009PHENOTYPE,DISO,eye photoreceptor cell phenotype,NA,None
ZP:0004923,DISO,abnormal(ly) decreased amount NaK ionocyte,NA,None
MP:0001212,DISO,skin lesions,NA,None
FBbt:00004605PHENOTYPE,DISO,Drosophila mesothoracic cleft phenotype,NA,None
FBcv:0000444,DISO,hyperplasia,NA,None
GO:0007409PHENOTYPE,PHYS,axonogenesis phenotype,NA,None
MP:0005140,DISO,decreased cardiac muscle contractility,NA,None
HP:0012117,DISO,Hyperalbuminemia,NA,None
NCBIGene:100563491,GENE,kctd9,NA,None
MP:0003982,DISO,increased cholesterol level,NA,None
MP:0000859,DISO,abnormal somatosensory cortex morphology,NA,None
NCBIGene:407217,GENE,EGFR,NA,None
FBbt:00003690PHENOTYPE,DISO,mushroom body alpha-lobe phenotype,NA,None
MP:0001195,DISO,flaky skin,NA,None
FBbt:00005089PHENOTYPE,DISO,Drosophila muscle attachment site phenotype,NA,None
UBERON:0001304,ANAT,germinal epithelium of ovary,NA,None
MP:0000715,DISO,decreased thymocyte number,NA,None
MP:0003643,DISO,spleen atrophy,NA,None
NCBIGene:100556583,GENE,faf1,NA,None
HP:0001667,DISO,Right ventricular hypertrophy,NA,None
FBbt:00004225PHENOTYPE,DISO,photoreceptor cell R7 phenotype,NA,None
MP:0000473,DISO,abnormal stomach glandular epithelium morphology,NA,None
MP:0008208,DISO,decreased pro-B cell number,NA,None
FBbt:00002925PHENOTYPE,DISO,Drosophila abdominal 5 ventral denticle belt phenotype,NA,None
FBcv:0000397,DISO,learning defective,NA,None
NCBIGene:100523218,GENE,FBXW11,NA,None
WBPhenotype:0000775,DISO,meiosis variant,NA,None
NCBIGene:100067436,GENE,AQP12B,NA,None
NCBIGene:280795,GENE,FOS,NA,None
HP:0002185,DISO,Neurofibrillary tangles,NA,None
GO:0045202PHENOTYPE,PHYS,synapse phenotype,NA,None
UBERON:0002483,ANAT,trabecular bone tissue,NA,None
NCBIGene:100516197,GENE,AMFR,NA,None
GO:0061026PHENOTYPE,PHYS,cardiac muscle tissue regeneration phenotype,NA,None
MESH:D008325,DISO,"Mammary Neoplasms, Experimental",NA,None
MP:0008174,DISO,decreased follicular B cell number,NA,None
HP:0000962,DISO,Hyperkeratosis,NA,None
